n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
4096,0.990000,0.001000,164966,180055,0.004296,0.000000,172042500.000000,477.962217,2092215.586265,158.692622,28573400.000000,6301490.197176,200615900.000000,557.343798,1794224.685082,0.282745,0.313995
16384,0.500000,0.010000,8407,22657,0.067618,0.000000,167548000.000000,465.475761,2148339.580299,123.533566,2798900.000000,8094965.879453,170346900.000000,473.251563,2113041.094379,0.009613,0.134613
16384,0.500000,0.050000,8407,22657,0.104700,0.000000,167548000.000000,465.475761,2148339.580299,106.571920,2414600.000000,9383334.713824,169962600.000000,472.183914,2117818.861326,0.006256,0.131256
16384,0.500000,0.100000,8407,22657,0.162932,0.000000,167548000.000000,465.475761,2148339.580299,105.172794,2382900.000000,9508162.323220,169930900.000000,472.095847,2118213.932840,0.004807,0.129807
16384,0.500000,0.200000,8407,22657,0.253156,0.000000,167548000.000000,465.475761,2148339.580299,97.104648,2200100.000000,10298168.265079,169748100.000000,471.587998,2120495.015850,0.003365,0.128365
16384,0.500000,0.001000,8407,22657,0.059290,0.000000,167548000.000000,465.475761,2148339.580299,125.338747,2839800.000000,7978378.759068,170387800.000000,473.365190,2112533.878599,0.014412,0.139412
16384,0.600000,0.010000,11421,25831,0.056117,0.000000,167548000.000000,465.475761,2148339.580299,122.647207,3168100.000000,8153467.377924,170716100.000000,474.277261,2108471.315828,0.013054,0.138054
16384,0.600000,0.050000,11421,25831,0.096900,0.000000,167548000.000000,465.475761,2148339.580299,113.177964,2923500.000000,8835642.209680,170471500.000000,473.597722,2111496.643134,0.008492,0.133492
16384,0.600000,0.100000,11421,25831,0.140591,0.000000,167548000.000000,465.475761,2148339.580299,107.192908,2768900.000000,9328975.405396,170316900.000000,473.168218,2113413.290167,0.006531,0.131531
16384,0.600000,0.200000,11421,25831,0.245555,0.000000,167548000.000000,465.475761,2148339.580299,101.157524,2613000.000000,9885572.139303,170161000.000000,472.735102,2115349.580691,0.004562,0.129562
16384,0.600000,0.001000,11421,25831,0.048318,0.000000,167548000.000000,465.475761,2148339.580299,133.552708,3449800.000000,7487680.445243,170997800.000000,475.059869,2104997.842078,0.019577,0.144577
16384,0.700000,0.010000,15904,30445,0.047591,0.000000,167548000.000000,465.475761,2148339.580299,122.516012,3730000.000000,8162198.391421,171278000.000000,475.838311,2101554.198438,0.018173,0.143173
16384,0.700000,0.050000,15904,30445,0.091282,0.000000,167548000.000000,465.475761,2148339.580299,113.962884,3469600.000000,8774786.718930,171017600.000000,475.114877,2104754.130569,0.011826,0.136826
16384,0.700000,0.100000,15904,30445,0.140260,0.000000,167548000.000000,465.475761,2148339.580299,104.529479,3182400.000000,9566679.235797,170730400.000000,474.316988,2108294.714942,0.009087,0.134087
16384,0.700000,0.200000,15904,30445,0.245885,0.000000,167548000.000000,465.475761,2148339.580299,95.493513,2907300.000000,10471915.522994,170455300.000000,473.552716,2111697.318887,0.006355,0.131355
16384,0.700000,0.001000,15904,30445,0.039461,0.000000,167548000.000000,465.475761,2148339.580299,136.873050,4167100.000000,7306040.171822,171715100.000000,477.052646,2096204.701858,0.027260,0.152260
16384,0.800000,0.010000,22878,37565,0.038800,0.000000,167548000.000000,465.475761,2148339.580299,120.766671,4536600.000000,8280430.278182,172084600.000000,478.079178,2091703.731769,0.026146,0.151146
16384,0.800000,0.050000,22878,37565,0.075881,0.000000,167548000.000000,465.475761,2148339.580299,108.603753,4079700.000000,9207784.886144,171627700.000000,476.809835,2097272.176927,0.017006,0.142006
16384,0.800000,0.100000,22878,37565,0.123075,0.000000,167548000.000000,465.475761,2148339.580299,134.337814,5046400.000000,7443920.418516,172594400.000000,479.495485,2085525.370464,0.013077,0.138077
16384,0.800000,0.200000,22878,37565,0.226519,0.000000,167548000.000000,465.475761,2148339.580299,92.197524,3463400.000000,10846278.223711,171011400.000000,475.097652,2104830.438205,0.009140,0.134140
16384,0.800000,0.001000,22878,37565,0.030670,0.000000,167548000.000000,465.475761,2148339.580299,137.902303,5180300.000000,7251510.530278,172728300.000000,479.867482,2083908.658859,0.039215,0.164215
16384,0.900000,0.010000,36661,51490,0.029480,0.000000,167548000.000000,465.475761,2148339.580299,144.441639,7437300.000000,6923211.380474,174985300.000000,486.137797,2057029.933372,0.041893,0.166893
16384,0.900000,0.050000,36661,51490,0.072047,0.000000,167548000.000000,465.475761,2148339.580299,108.671587,5595500.000000,9202037.351443,173143500.000000,481.020975,2078911.423184,0.027252,0.152252
16384,0.900000,0.100000,36661,51490,0.122348,0.000000,167548000.000000,465.475761,2148339.580299,99.673723,5132200.000000,10032734.499825,172680200.000000,479.733852,2084489.130775,0.020950,0.145950
16384,0.900000,0.200000,36661,51490,0.225131,0.000000,167548000.000000,465.475761,2148339.580299,90.036900,4636000.000000,11106557.377049,172184000.000000,478.355327,2090496.213353,0.014641,0.139641
16384,0.900000,0.001000,36661,51490,0.020490,0.000000,167548000.000000,465.475761,2148339.580299,144.319285,7431000.000000,6929080.877405,174979000.000000,486.120294,2057103.995337,0.062836,0.187836
16384,0.950000,0.010000,52183,67107,0.023068,0.000000,167548000.000000,465.475761,2148339.580299,123.343317,8277200.000000,8107451.795293,175825200.000000,488.471177,2047203.700038,0.059631,0.184631
16384,0.950000,0.050000,52183,67107,0.068213,0.000000,167548000.000000,465.475761,2148339.580299,122.225699,8202200.000000,8181585.428300,175750200.000000,488.262814,2048077.327935,0.038788,0.163788
16384,0.950000,0.100000,52183,67107,0.113557,0.000000,167548000.000000,465.475761,2148339.580299,96.501110,6475900.000000,10362575.086088,174023900.000000,483.466870,2068394.053920,0.029816,0.154816
16384,0.950000,0.200000,52183,67107,0.213431,0.000000,167548000.000000,465.475761,2148339.580299,104.336358,7001700.000000,9584386.648957,174549700.000000,484.927629,2062163.383839,0.020844,0.145844
