n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
4096,0.990000,0.050000,233274,248392,0.050102,0.000000,9056608300.000000,25160.739825,39744.459303,256.897565,63811300.000000,3892602.093986,9120419600.000000,25338.018058,39466.385954,0.173393,0.204643
4096,0.990000,0.100000,233274,248392,0.106154,0.000000,9056608300.000000,25160.739825,39744.459303,246.236191,61163100.000000,4061141.439855,9117771400.000000,25330.660925,39477.848721,0.133278,0.164528
4096,0.990000,0.200000,233274,248392,0.204706,0.000000,9056608300.000000,25160.739825,39744.459303,254.481626,63211200.000000,3929556.787405,9119819500.000000,25336.350882,39468.982911,0.093155,0.124405
4096,0.990000,0.001000,233274,248392,0.001785,0.000000,9056608300.000000,25160.739825,39744.459303,303.386180,75358700.000000,3296129.046812,9131967000.000000,25370.098625,39416.480590,0.399818,0.431068
16384,0.500000,0.010000,12759,27003,0.069205,0.000000,9074411400.000000,25210.199750,39666.484594,253.542199,6846400.000000,3944116.616032,9081257800.000000,25229.220169,39636.579858,0.014580,0.139580
16384,0.500000,0.050000,12759,27003,0.105889,0.000000,9074411400.000000,25210.199750,39666.484594,271.669814,7335900.000000,3680938.944097,9081747300.000000,25230.580081,39634.443473,0.009491,0.134491
16384,0.500000,0.100000,12759,27003,0.154670,0.000000,9074411400.000000,25210.199750,39666.484594,324.134355,8752600.000000,3085140.415419,9083164000.000000,25234.515905,39628.261694,0.007294,0.132294
16384,0.500000,0.200000,12759,27003,0.252033,0.000000,9074411400.000000,25210.199750,39666.484594,237.288449,6407500.000000,4214280.140460,9080818900.000000,25228.000833,39638.495599,0.005096,0.130096
16384,0.500000,0.001000,12759,27003,0.059224,0.000000,9074411400.000000,25210.199750,39666.484594,262.641188,7092100.000000,3807475.923915,9081503500.000000,25229.902764,39635.507491,0.021873,0.146873
16384,0.600000,0.010000,18430,32916,0.051094,0.000000,9074411400.000000,25210.199750,39666.484594,262.316199,8634400.000000,3812193.088113,9083045800.000000,25234.187526,39628.777387,0.021065,0.146065
16384,0.600000,0.050000,18430,32916,0.090885,0.000000,9074411400.000000,25210.199750,39666.484594,252.688662,8317500.000000,3957439.134355,9082728900.000000,25233.307126,39630.160050,0.013702,0.138702
16384,0.600000,0.100000,18430,32916,0.142376,0.000000,9074411400.000000,25210.199750,39666.484594,249.842022,8223800.000000,4002529.244388,9082635200.000000,25233.046812,39630.568890,0.010536,0.135536
