n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.900000,0.050000,155761,170565,0.072774,0.000000,77928600.000000,216.498403,4618971.725400,117.545804,20049200.000000,8507321.987910,9672320000.000000,26871.287679,37214.442864,9770297800.000000,27143.486040,36841.251656,0.115784,0.123596
1024,0.900000,0.100000,155761,170565,0.121290,0.000000,77928600.000000,216.498403,4618971.725400,107.062997,18261200.000000,9340295.270847,9672320000.000000,26871.287679,37214.442864,9768509800.000000,27138.518683,36847.994973,0.088989,0.096802
1024,0.900000,0.200000,155761,170565,0.217397,0.000000,77928600.000000,216.498403,4618971.725400,95.609299,16307600.000000,10459233.731512,9672320000.000000,26871.287679,37214.442864,9766556200.000000,27133.091263,36855.365661,0.062202,0.070015
1024,0.900000,0.001000,155761,170565,0.022606,0.000000,77928600.000000,216.498403,4618971.725400,165.116524,28163100.000000,6056329.026279,9672320000.000000,26871.287679,37214.442864,9778411700.000000,27166.027782,36810.681637,0.266968,0.274780
1024,0.950000,0.010000,208027,223024,0.018706,0.000000,77928600.000000,216.498403,4618971.725400,137.804452,30733700.000000,7256659.627705,9672320000.000000,26871.287679,37214.442864,9780982300.000000,27173.169329,36801.007195,0.237701,0.245514
1024,0.950000,0.050000,208027,223024,0.059951,0.000000,77928600.000000,216.498403,4618971.725400,120.268222,26822700.000000,8314748.328841,9672320000.000000,26871.287679,37214.442864,9777071300.000000,27162.303931,36815.728244,0.154633,0.162445
1024,0.950000,0.100000,208027,223024,0.110648,0.000000,77928600.000000,216.498403,4618971.725400,113.709287,25359900.000000,8794356.444623,9672320000.000000,26871.287679,37214.442864,9775608500.000000,27158.240033,36821.237266,0.118851,0.126663
1024,0.950000,0.200000,208027,223024,0.221099,0.000000,77928600.000000,216.498403,4618971.725400,96.094591,21431400.000000,10406413.020148,9672320000.000000,26871.287679,37214.442864,9771680000.000000,27147.326018,36836.040476,0.083076,0.090889
1024,0.950000,0.001000,208027,223024,0.009452,0.000000,77928600.000000,216.498403,4618971.725400,167.429963,37340900.000000,5972646.615373,9672320000.000000,26871.287679,37214.442864,9787589500.000000,27191.525212,36776.164346,0.356552,0.364365
1024,0.990000,0.010000,301272,316384,0.009915,0.000000,77928600.000000,216.498403,4618971.725400,139.671096,44189700.000000,7159677.481404,9672320000.000000,26871.287679,37214.442864,9794438300.000000,27210.552299,36750.448466,0.344246,0.352058
1024,0.990000,0.050000,301272,316384,0.050367,0.000000,77928600.000000,216.498403,4618971.725400,117.512896,37179200.000000,8509704.350820,9672320000.000000,26871.287679,37214.442864,9787427800.000000,27191.075983,36776.771932,0.223938,0.231750
1024,0.990000,0.100000,301272,316384,0.103312,0.000000,77928600.000000,216.498403,4618971.725400,106.234512,33610900.000000,9413136.809785,9672320000.000000,26871.287679,37214.442864,9783859500.000000,27181.162661,36790.184896,0.172127,0.179939
1024,0.990000,0.200000,301272,316384,0.209796,0.000000,77928600.000000,216.498403,4618971.725400,95.685306,30273300.000000,10450925.402913,9672320000.000000,26871.287679,37214.442864,9780521900.000000,27171.890263,36802.739535,0.120308,0.128120
1024,0.990000,0.001000,301272,316384,0.001851,0.000000,77928600.000000,216.498403,4618971.725400,169.691893,53687800.000000,5893033.426589,9672320000.000000,26871.287679,37214.442864,9803936400.000000,27236.939575,36714.844458,0.516365,0.524178
2048,0.500000,0.010000,28162,41660,0.114945,0.000000,70925400.000000,197.042367,5075050.687060,125.808929,5241200.000000,7948561.398153,9769042300.000000,27139.998055,36845.986428,9845208900.000000,27351.601334,36560.930668,0.032181,0.047806
2048,0.500000,0.050000,28162,41660,0.153150,0.000000,70925400.000000,197.042367,5075050.687060,107.659626,4485100.000000,9288533.143074,9769042300.000000,27139.998055,36845.986428,9844452800.000000,27349.500764,36563.738718,0.020935,0.036560
2048,0.500000,0.100000,28162,41660,0.200806,0.000000,70925400.000000,197.042367,5075050.687060,105.468075,4393800.000000,9481542.173062,9769042300.000000,27139.998055,36845.986428,9844361500.000000,27349.247118,36564.077823,0.016090,0.031715
2048,0.500000,0.200000,28162,41660,0.295062,0.000000,70925400.000000,197.042367,5075050.687060,93.146904,3880500.000000,10735729.931710,9769042300.000000,27139.998055,36845.986428,9843848200.000000,27347.821086,36565.984429,0.011253,0.026878
2048,0.500000,0.001000,28162,41660,0.108798,0.000000,70925400.000000,197.042367,5075050.687060,142.638022,5942300.000000,7010753.411979,9769042300.000000,27139.998055,36845.986428,9845910000.000000,27353.549104,36558.327265,0.048271,0.063896
2048,0.600000,0.010000,38736,52629,0.091149,0.000000,70925400.000000,197.042367,5075050.687060,128.518497,6763800.000000,7780981.105296,9769042300.000000,27139.998055,36845.986428,9846731500.000000,27355.831365,36555.277251,0.044266,0.059891
2048,0.600000,0.050000,38736,52629,0.129553,0.000000,70925400.000000,197.042367,5075050.687060,113.239849,5959700.000000,8830813.631559,9769042300.000000,27139.998055,36845.986428,9845927400.000000,27353.597444,36558.262658,0.028793,0.044418
2048,0.600000,0.100000,38736,52629,0.178267,0.000000,70925400.000000,197.042367,5075050.687060,101.274962,5330000.000000,9874108.818011,9769042300.000000,27139.998055,36845.986428,9845297700.000000,27351.848034,36560.600905,0.022133,0.037758
2048,0.600000,0.200000,38736,52629,0.275167,0.000000,70925400.000000,197.042367,5075050.687060,91.251971,4802500.000000,10958667.360750,9769042300.000000,27139.998055,36845.986428,9844770200.000000,27350.382553,36562.559886,0.015472,0.031097
2048,0.600000,0.001000,38736,52629,0.082689,0.000000,70925400.000000,197.042367,5075050.687060,147.259116,7750100.000000,6790751.087083,9769042300.000000,27139.998055,36845.986428,9847717800.000000,27358.571468,36551.616051,0.066399,0.082024
2048,0.700000,0.010000,53699,67933,0.067618,0.000000,70925400.000000,197.042367,5075050.687060,124.909838,8485500.000000,8005774.556597,9769042300.000000,27139.998055,36845.986428,9848453200.000000,27360.614530,36548.886682,0.061363,0.076988
2048,0.700000,0.050000,53699,67933,0.105162,0.000000,70925400.000000,197.042367,5075050.687060,109.375414,7430200.000000,9142822.535060,9769042300.000000,27139.998055,36845.986428,9847397900.000000,27357.682734,36552.803457,0.039917,0.055542
2048,0.700000,0.100000,53699,67933,0.156653,0.000000,70925400.000000,197.042367,5075050.687060,115.846496,7869800.000000,8632112.633104,9769042300.000000,27139.998055,36845.986428,9847837500.000000,27358.904014,36551.171767,0.030685,0.046310
2048,0.700000,0.200000,53699,67933,0.251570,0.000000,70925400.000000,197.042367,5075050.687060,91.852266,6239800.000000,10887047.661784,9769042300.000000,27139.998055,36845.986428,9846207500.000000,27354.375608,36557.222667,0.021446,0.037071
2048,0.700000,0.001000,53699,67933,0.060348,0.000000,70925400.000000,197.042367,5075050.687060,151.823120,10313800.000000,6586612.111928,9769042300.000000,27139.998055,36845.986428,9850281500.000000,27365.693846,36542.102883,0.092041,0.107666
2048,0.800000,0.010000,76363,90903,0.049309,0.000000,70925400.000000,197.042367,5075050.687060,128.975941,11724300.000000,7753383.997339,9769042300.000000,27139.998055,36845.986428,9851692000.000000,27369.612446,36536.871027,0.087257,0.102882
2048,0.800000,0.050000,76363,90903,0.089761,0.000000,70925400.000000,197.042367,5075050.687060,111.563975,10141500.000000,8963466.942760,9769042300.000000,27139.998055,36845.986428,9850109200.000000,27365.215169,36542.742085,0.056763,0.072388
2048,0.800000,0.100000,76363,90903,0.132593,0.000000,70925400.000000,197.042367,5075050.687060,119.831029,10893000.000000,8345083.998898,9769042300.000000,27139.998055,36845.986428,9850860700.000000,27367.302959,36539.954321,0.043633,0.059258
2048,0.800000,0.200000,76363,90903,0.238152,0.000000,70925400.000000,197.042367,5075050.687060,134.603918,12235900.000000,7429204.226906,9769042300.000000,27139.998055,36845.986428,9852203600.000000,27371.033755,36534.973760,0.030495,0.046120
2048,0.800000,0.001000,76363,90903,0.039857,0.000000,70925400.000000,197.042367,5075050.687060,152.751834,13885600.000000,6546566.226883,9769042300.000000,27139.998055,36845.986428,9853853300.000000,27375.616891,36528.857193,0.130882,0.146507
2048,0.900000,0.010000,119250,134121,0.027497,0.000000,70925400.000000,197.042367,5075050.687060,141.156866,18932100.000000,7084317.112206,9769042300.000000,27139.998055,36845.986428,9858899800.000000,27389.636894,36510.159075,0.136261,0.151886
2048,0.900000,0.050000,119250,134121,0.067883,0.000000,70925400.000000,197.042367,5075050.687060,117.218780,15721500.000000,8531056.196928,9769042300.000000,27139.998055,36845.986428,9855689200.000000,27380.717322,36522.052664,0.088638,0.104263
2048,0.900000,0.100000,119250,134121,0.119043,0.000000,70925400.000000,197.042367,5075050.687060,102.422439,13737000.000000,9763485.477178,9769042300.000000,27139.998055,36845.986428,9853704700.000000,27375.204056,36529.408071,0.068130,0.083755
2048,0.900000,0.200000,119250,134121,0.221297,0.000000,70925400.000000,197.042367,5075050.687060,92.105636,12353300.000000,10857098.912841,9769042300.000000,27139.998055,36845.986428,9852321000.000000,27371.359911,36534.538410,0.047623,0.063248
