n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits,total_memory_mb
4096,0.800000,0.100000,23852,113314,0.085960,0.352905,11829300.000000,93.779134,10663352.861116,107.328309,12161800.000000,9317206.334589,23991100.000000,190.194229,5257783.094564,0.013634,0.044884
4096,0.800000,0.200000,23852,113314,0.179607,0.316197,11829300.000000,93.779134,10663352.861116,103.008454,11672300.000000,9707941.022763,23501600.000000,186.313620,5367294.141675,0.009529,0.040779
4096,0.800000,0.001000,23852,113314,0.004371,0.384199,11829300.000000,93.779134,10663352.861116,105.191768,11919700.000000,9506447.309916,23749000.000000,188.274933,5311381.531854,0.040886,0.072136
4096,0.900000,0.010000,29873,116112,0.007590,0.474164,11829300.000000,93.779134,10663352.861116,106.088087,12318100.000000,9426129.029639,24147400.000000,191.433328,5223750.797187,0.034134,0.065384
4096,0.900000,0.050000,29873,116112,0.040495,0.459375,11829300.000000,93.779134,10663352.861116,106.153541,12325700.000000,9420316.898837,24155000.000000,191.493579,5222107.224177,0.022209,0.053459
4096,0.900000,0.100000,29873,116112,0.083204,0.439965,11829300.000000,93.779134,10663352.861116,105.181204,12212800.000000,9507402.069959,24042100.000000,190.598541,5246629.870103,0.017067,0.048317
4096,0.900000,0.200000,29873,116112,0.178466,0.393970,11829300.000000,93.779134,10663352.861116,103.023805,11962300.000000,9706494.570442,23791600.000000,188.612653,5301871.248676,0.011932,0.043182
4096,0.900000,0.001000,29873,116112,0.001827,0.476893,11829300.000000,93.779134,10663352.861116,106.888177,12411000.000000,9355571.670292,24240300.000000,192.169811,5203730.976927,0.051201,0.082451
16384,0.200000,0.010000,3951,99380,0.068642,0.088952,11533400.000000,91.433328,10936931.000399,104.206078,10356000.000000,9596369.254538,21889400.000000,173.532583,5762606.558426,0.004517,0.129517
16384,0.200000,0.050000,3951,99380,0.104042,0.085519,11533400.000000,91.433328,10936931.000399,109.048098,10837200.000000,9170265.382202,22370600.000000,177.347392,5638650.729082,0.002937,0.127937
16384,0.200000,0.100000,3951,99380,0.147505,0.081426,11533400.000000,91.433328,10936931.000399,107.085933,10642200.000000,9338294.713499,22175600.000000,175.801490,5688233.914753,0.002258,0.127258
16384,0.200000,0.200000,3951,99380,0.241172,0.073239,11533400.000000,91.433328,10936931.000399,102.466291,10183100.000000,9759307.087233,21716500.000000,172.161884,5808486.634587,0.001579,0.126579
16384,0.200000,0.001000,3951,99380,0.061033,0.089305,11533400.000000,91.433328,10936931.000399,105.777822,10512200.000000,9453777.515648,22045600.000000,174.770889,5721776.681061,0.006775,0.131775
16384,0.300000,0.010000,6247,103286,0.039431,0.124604,11533400.000000,91.433328,10936931.000399,105.547702,10901600.000000,9474389.080502,22435000.000000,177.857936,5622464.898596,0.007141,0.132141
16384,0.300000,0.050000,6247,103286,0.073690,0.119850,11533400.000000,91.433328,10936931.000399,106.132486,10962000.000000,9422185.732531,22495400.000000,178.336769,5607368.617584,0.004646,0.129646
16384,0.300000,0.100000,6247,103286,0.118623,0.114349,11533400.000000,91.433328,10936931.000399,105.111051,10856500.000000,9513747.524524,22389900.000000,177.500396,5633790.235776,0.003571,0.128571
16384,0.300000,0.200000,6247,103286,0.218178,0.101540,11533400.000000,91.433328,10936931.000399,102.507600,10587600.000000,9755374.211342,22121000.000000,175.368638,5702273.857421,0.002495,0.127495
16384,0.300000,0.001000,6247,103286,0.032837,0.125044,11533400.000000,91.433328,10936931.000399,103.172744,10656300.000000,9692482.381314,22189700.000000,175.913271,5684619.440551,0.010712,0.135712
16384,0.400000,0.010000,8374,105501,0.026349,0.154798,11533400.000000,91.433328,10936931.000399,103.810390,10952100.000000,9632947.106034,22485500.000000,178.258284,5609837.450802,0.009575,0.134575
16384,0.400000,0.050000,8374,105501,0.061216,0.149516,11533400.000000,91.433328,10936931.000399,106.235960,11208000.000000,9413008.565310,22741400.000000,180.286983,5546712.163719,0.006226,0.131226
16384,0.400000,0.100000,8374,105501,0.105424,0.140581,11533400.000000,91.433328,10936931.000399,104.357305,11009800.000000,9582462.896692,22543200.000000,178.715713,5595478.902729,0.004791,0.129791
16384,0.400000,0.200000,8374,105501,0.200174,0.127201,11533400.000000,91.433328,10936931.000399,101.732685,10732900.000000,9829682.564824,22266300.000000,176.520533,5665063.346852,0.003349,0.128349
16384,0.400000,0.001000,8374,105501,0.019426,0.155634,11533400.000000,91.433328,10936931.000399,102.886229,10854600.000000,9719473.771489,22388000.000000,177.485334,5634268.358049,0.014359,0.139359
16384,0.500000,0.010000,10421,107034,0.019232,0.184463,11533400.000000,91.433328,10936931.000399,110.756395,11854700.000000,9028824.010730,23388100.000000,185.413826,5393341.058059,0.011909,0.136909
16384,0.500000,0.050000,10421,107034,0.053355,0.178741,11533400.000000,91.433328,10936931.000399,105.386139,11279900.000000,9488913.908811,22813300.000000,180.856984,5529230.755743,0.007751,0.132751
16384,0.500000,0.100000,10421,107034,0.098414,0.171391,11533400.000000,91.433328,10936931.000399,104.117383,11144100.000000,9604544.108542,22677500.000000,179.780403,5562341.527946,0.005959,0.130959
16384,0.500000,0.200000,10421,107034,0.195658,0.151761,11533400.000000,91.433328,10936931.000399,102.968216,11021100.000000,9711734.763318,22554500.000000,178.805296,5592675.519298,0.004166,0.129166
16384,0.500000,0.001000,10421,107034,0.012667,0.186312,11533400.000000,91.433328,10936931.000399,104.114580,11143800.000000,9604802.670543,22677200.000000,179.778024,5562415.112977,0.017868,0.142868
16384,0.600000,0.010000,12811,108453,0.015026,0.221083,11533400.000000,91.433328,10936931.000399,104.748601,11360300.000000,9546666.901402,22893700.000000,181.494371,5509812.743244,0.014641,0.139641
16384,0.600000,0.050000,12811,108453,0.048376,0.212896,11533400.000000,91.433328,10936931.000399,116.411718,12625200.000000,8590200.551278,24158600.000000,191.522118,5221329.050524,0.009529,0.134529
